LSOA21CD,LSOA name (2011),Local Authority District code (2019),Local Authority District name (2019),Index of Multiple Deprivation (IMD) Rank,Index of Multiple Deprivation (IMD) Decile
E01009522,Coventry 014A,E08000026,Coventry,"11,101",4
E01009523,Coventry 010A,E08000026,Coventry,"17,853",6
E01009524,Coventry 006A,E08000026,Coventry,"8,491",3
E01009525,Coventry 006B,E08000026,Coventry,"17,711",6
E01009526,Coventry 010B,E08000026,Coventry,"21,338",7
E01009527,Coventry 006C,E08000026,Coventry,"14,355",5
E01009528,Coventry 010C,E08000026,Coventry,"26,047",8
E01009529,Coventry 014B,E08000026,Coventry,"18,418",6
E01009530,Coventry 014C,E08000026,Coventry,"22,569",7
E01009531,Coventry 010D,E08000026,Coventry,"17,157",6
E01009532,Coventry 033A,E08000026,Coventry,"21,614",7
E01009535,Coventry 033B,E08000026,Coventry,"24,590",8
E01009536,Coventry 033C,E08000026,Coventry,"28,235",9
E01009537,Coventry 035C,E08000026,Coventry,"7,595",3
E01009538,Coventry 035D,E08000026,Coventry,"7,630",3
E01009539,Coventry 039A,E08000026,Coventry,427,1
E01009540,Coventry 039B,E08000026,Coventry,"1,832",1
E01009541,Coventry 039C,E08000026,Coventry,"3,474",2
E01009542,Coventry 039D,E08000026,Coventry,"1,274",1
E01009543,Coventry 033D,E08000026,Coventry,"29,448",9
E01009544,Coventry 038A,E08000026,Coventry,"10,574",4
E01009548,Coventry 031A,E08000026,Coventry,"17,694",6
E01009549,Coventry 037B,E08000026,Coventry,"29,539",9
E01009550,Coventry 037C,E08000026,Coventry,"22,861",7
E01009552,Coventry 037E,E08000026,Coventry,"11,801",4
E01009553,Coventry 031B,E08000026,Coventry,"9,434",3
E01009554,Coventry 034A,E08000026,Coventry,"22,094",7
E01009555,Coventry 034B,E08000026,Coventry,"25,389",8
E01009556,Coventry 034C,E08000026,Coventry,"16,552",6
E01009557,Coventry 034D,E08000026,Coventry,"27,977",9
E01009558,Coventry 034E,E08000026,Coventry,"19,914",7
E01009559,Coventry 034F,E08000026,Coventry,"24,515",8
